codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
05,,lift,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
06,,small spray,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
08,,heat lot,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
10,,group,A unit of count defining the number of groups (group: set of items classified together).,,,3.9,Informativa - varias,Vigente
11,,outfit,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).,,,3.9,Informativa - varias,Vigente
13,,ration,A unit of count defining the number of rations (ration: a single portion of provisions).,,,3.9,Informativa - varias,Vigente
14,,shot,"A unit of liquid measure, especially related to spirits.",,,3.9,Informativa - varias,Vigente
15,,"stick, military",A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).,,,3.9,Informativa - varias,Vigente
16,,hundred fifteen kg drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
17,,hundred lb drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
18,,fiftyfive gallon (US) drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
19,,tank truck,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
1A,,car mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1B,,car count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1C,,locomotive count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1D,,caboose count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1E,,empty car,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1F,,train mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1G,,fuel usage gallon (US),,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1H,,caboose mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1I,,fixed rate,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.,,,3.9,Informativa - varias,Vigente
1J,,ton mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1K,,locomotive mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1L,,total car count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1M,,total car mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1X,,quarter mile,,,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
20,,twenty foot container,A unit of count defining the number of shipping containers that measure 20 foot in length.,,,3.4,Informativa - unidades de envío y transporte,Vigente
21,,forty foot container,A unit of count defining the number of shipping containers that measure 40 foot in length.,,,3.4,Informativa - unidades de envío y transporte,Vigente
22,,decilitre per gram,,dl/g,10⁻¹ x m³/kg,1M,Normativa - múltiplos de uso común,Vigente
23,,gram per cubic centimetre,,g/cm³,10³ kg/m³,1S,Normativa - múltiplos estándar,Vigente
24,,theoretical pound,A unit of mass defining the expected mass of material expressed as the number of pounds.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
25,,gram per square centimetre,,g/cm²,10 kg/m²,1M,Normativa - múltiplos de uso común,Vigente
26,,actual ton,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
27,,theoretical ton,"A unit of mass defining the expected mass of material, expressed as the number of tons.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
28,,kilogram per square metre,,kg/m²,kg/m²,1,Normativa (SI),Vigente
